0  ,1
1  ,10
2  ,14
3  ,21
4  ,31
5  ,44
6  ,72
7  ,100
8  ,149
9  ,250
10 ,375
11 ,472
12 ,554
13 ,761
14 ,861
15 ,1118
16 ,1382
17 ,1886
18 ,2947
19 ,4726
20 ,6364
21 ,8800
22 ,12118
23 ,19134
24 ,26594
25 ,38367
26 ,61225
27 ,86449
28 ,111600
29 ,142092
30 ,210897
31 ,300200
32 ,463385
33 ,630758
34 ,917238
35 ,1444440
36 ,2078995
37 ,2836572
38 ,3318200
39 ,4254750
40 ,6907600
41 ,9724200
42 ,13012200
43 ,16477000
44 ,20035800
45 ,23990600
46 ,34253500
47 ,53949000
48 ,69647500
49 ,98692500
50 ,112279000
51 ,118500263
52 ,141391555
53 ,193527997
54 ,214595000
55 ,233810000
56 ,271241299
57 ,288570000
58 ,332970000
59 ,381277911
60 ,465250000
61 ,508416000
62 ,498240000
63 ,565796000
64 ,690350000
65 ,711261000
66 ,791770000
67 ,1045378900
68 ,1087576000
69 ,1114205511
70 ,1287800508
71 ,1765319407
72 ,1705700000
73 ,1938800000
74 ,2257350000
75 ,2476700000
76 ,2716573434
77 ,2978850163
78 ,3253985586
79 ,3566333808
80 ,3907521979
81 ,7312150000
